location: (0,0) measurement number:0 | max [V]: 0.02239999920129776 | min [V]: -0.019999999552965164 | RMS [v]: 0.004894967190921307
location: (0,0) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.018400000408291817 | RMS [v]: 0.004863164387643337
location: (0,0) measurement number:2 | max [V]: 0.020800000056624413 | min [V]: -0.019999999552965164 | RMS [v]: 0.005709920544177294
location: (0,0) measurement number:3 | max [V]: 0.02239999920129776 | min [V]: -0.019199999049305916 | RMS [v]: 0.005770872812718153
location: (0,0) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.01759999990463257 | RMS [v]: 0.00496642803773284
location: (0,1) measurement number:0 | max [V]: 0.014399999752640724 | min [V]: -0.015199999324977398 | RMS [v]: 0.004556433763355017
location: (0,1) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.019999999552965164 | RMS [v]: 0.004758829716593027
location: (0,1) measurement number:2 | max [V]: 0.020800000056624413 | min [V]: -0.015199999324977398 | RMS [v]: 0.004564663860946894
location: (0,1) measurement number:3 | max [V]: 0.01759999990463257 | min [V]: -0.019199999049305916 | RMS [v]: 0.004581073764711618
location: (0,1) measurement number:4 | max [V]: 0.01759999990463257 | min [V]: -0.01759999990463257 | RMS [v]: 0.004605297930538654
location: (0,2) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.005465030670166016
location: (0,2) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.015199999324977398 | RMS [v]: 0.004822772461920977
location: (0,2) measurement number:2 | max [V]: 0.019199999049305916 | min [V]: -0.024000000208616257 | RMS [v]: 0.005775074474513531
location: (0,2) measurement number:3 | max [V]: 0.018400000408291817 | min [V]: -0.018400000408291817 | RMS [v]: 0.0055304886773228645
location: (0,2) measurement number:4 | max [V]: 0.020800000056624413 | min [V]: -0.01679999940097332 | RMS [v]: 0.0051827155984938145
location: (0,3) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.0052803149446845055
location: (0,3) measurement number:1 | max [V]: 0.019199999049305916 | min [V]: -0.020800000056624413 | RMS [v]: 0.0055808983743190765
location: (0,3) measurement number:2 | max [V]: 0.01759999990463257 | min [V]: -0.020800000056624413 | RMS [v]: 0.0056417472660541534
location: (0,3) measurement number:3 | max [V]: 0.018400000408291817 | min [V]: -0.019999999552965164 | RMS [v]: 0.005786134861409664
location: (0,3) measurement number:4 | max [V]: 0.014399999752640724 | min [V]: -0.02159999869763851 | RMS [v]: 0.004987100139260292
location: (0,4) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.004941843915730715
location: (0,4) measurement number:1 | max [V]: 0.019999999552965164 | min [V]: -0.019199999049305916 | RMS [v]: 0.00546319130808115
location: (0,4) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.01599999889731407 | RMS [v]: 0.004319377709180117
location: (0,4) measurement number:3 | max [V]: 0.01759999990463257 | min [V]: -0.014399999752640724 | RMS [v]: 0.004349204711616039
location: (0,4) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004812889266759157
location: (0,5) measurement number:0 | max [V]: 0.01759999990463257 | min [V]: -0.01759999990463257 | RMS [v]: 0.004966485779732466
location: (0,5) measurement number:1 | max [V]: 0.012799999676644802 | min [V]: -0.01679999940097332 | RMS [v]: 0.0038428737316280603
location: (0,5) measurement number:2 | max [V]: 0.01679999940097332 | min [V]: -0.02239999920129776 | RMS [v]: 0.004754255060106516
location: (0,5) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.018400000408291817 | RMS [v]: 0.004225620999932289
location: (0,5) measurement number:4 | max [V]: 0.01599999889731407 | min [V]: -0.014399999752640724 | RMS [v]: 0.004171246197074652
